date,time,T,Po,U,Ff,WW,Nh,H,VV,Td
2018-10-18,8,24.3,757.1,96,2 m/s,Mist.,60%.,Less,4.0,23.6
2018-10-18,5,23.6,755.6,98,2 m/s,State of sky on the whole unchanged.,50%.,600-1000,15.0,23.2
2018-10-18,2,24.0,755.6,96,1 m/s,Clouds generally forming or developing.,50%.,600-1000,15.0,23.3
2018-10-17,23,24.1,756.8,96,1 m/s,Rain (not freezing) not falling as shower(s).,60%.,300-600,15.0,23.4
2018-10-17,20,24.7,755.7,91,2 m/s,"Lightning visible, no thunder heard.",60%.,300-600,15.0,23.1
2018-10-17,17,27.3,754.4,84,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",40%.,300-600,15.0,24.4
2018-10-17,14,30.6,754.3,67,4 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",50%.,300-600,15.0,23.9
2018-10-17,11,30.0,757.0,76,2 m/s,Clouds generally forming or developing.,60%.,300-600,20.0,25.3
2018-10-17,8,25.9,757.4,92,,Clouds generally forming or developing.,50%.,300-600,20.0,24.5
2018-10-17,5,25.0,756.1,94,1 m/s,Thunderstorm (with or without precipitation).,60%.,300-600,15.0,23.9
2018-10-17,2,25.0,756.7,95,2 m/s,Thunderstorm (with or without precipitation).,40%.,300-600,15.0,24.1
2018-10-16,23,25.5,757.2,93,2 m/s,"Thunderstorm, but no precipitation at the time of observation.",40%.,300-600,15.0,24.2
2018-10-16,20,26.3,756.6,90,2 m/s,"Lightning visible, no thunder heard.",40%.,300-600,15.0,24.5
2018-10-16,17,29.5,754.8,77,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",70,300-600,15.0,25.1
2018-10-16,14,32.2,755.3,65,2 m/s,Clouds generally dissolving or becoming less developed.,60%.,300-600,20.0,24.7
2018-10-16,11,30.0,757.4,76,2 m/s,Clouds generally forming or developing.,60%.,300-600,20.0,25.4
2018-10-16,8,25.7,757.8,93,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,Less,6.0,24.4
2018-10-16,5,24.6,756.7,96,1 m/s,Thunderstorm (with or without precipitation).,40%.,600-1000,15.0,23.9
2018-10-16,2,24.5,756.7,96,2 m/s,"Thunderstorm, but no precipitation at the time of observation.",50%.,300-600,15.0,23.8
2018-10-15,23,24.9,757.8,91,1 m/s,"Thunderstorm, but no precipitation at the time of observation.",50%.,300-600,15.0,23.4
2018-10-15,20,24.4,756.9,96,2 m/s,Thunderstorm (with or without precipitation).,50%.,300-600,15.0,23.7
2018-10-15,17,31.5,754.9,63,1 m/s,"Thunderstorm, but no precipitation at the time of observation.",60%.,300-600,12.0,23.5
2018-10-15,14,32.3,755.6,59,3 m/s,Clouds generally forming or developing.,50%.,600-1000,20.0,23.2
2018-10-15,11,30.1,757.9,70,3 m/s,Clouds generally forming or developing.,40%.,300-600,20.0,24.1
2018-10-15,8,24.6,758.2,91,,Clouds generally dissolving or becoming less developed.,20–30%.,300-600,20.0,23.1
2018-10-15,5,23.3,757.3,97,1 m/s,Clouds generally forming or developing.,40%.,600-1000,15.0,22.8
2018-10-15,2,23.8,757.0,91,2 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,22.3
2018-10-14,23,24.7,758.3,93,1 m/s,Clouds generally forming or developing.,40%.,600-1000,15.0,23.4
2018-10-14,20,26.0,757.6,84,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,23.1
2018-10-14,17,28.2,755.9,73,2 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,25.0,23.0
2018-10-14,14,29.3,756.8,63,2 m/s,Clouds generally forming or developing.,40%.,300-600,25.0,21.6
2018-10-14,11,26.9,757.9,82,2 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,200-300,20.0,23.5
2018-10-14,8,23.0,758.4,98,,"Rain, not freezing, continuous, slight at time of observation.",50%.,50-100,10.0,22.6
2018-10-14,5,23.1,757.8,98,1 m/s,"Rain, not freezing, continuous, slight at time of observation.",70,100-200,8.0,22.7
2018-10-14,2,23.9,757.5,97,3 m/s,"Rain, not freezing, intermittent, slight at time of observation.",50%.,600-1000,8.0,23.4
2018-10-13,23,24.8,758.2,93,,State of sky on the whole unchanged.,20–30%.,600-1000,15.0,23.5
2018-10-13,20,25.0,757.0,90,3 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.3
2018-10-13,17,26.5,755.6,84,3 m/s,Clouds generally forming or developing.,40%.,300-600,20.0,23.6
2018-10-13,14,26.7,756.6,83,1 m/s,Rain (not freezing) not falling as shower(s).,40%.,300-600,15.0,23.5
2018-10-13,11,24.4,757.9,94,1 m/s,"Rain, not freezing, continuous, slight at time of observation.",70,100-200,8.0,23.3
2018-10-13,8,24.1,757.2,95,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",60%.,300-600,15.0,23.2
2018-10-13,5,23.9,755.6,95,2 m/s,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation.",50%.,300-600,5.0,23.1
2018-10-13,2,24.8,756.1,90,3 m/s,"Rain, not freezing, intermittent, slight at time of observation.",60%.,300-600,10.0,23.1
2018-10-12,23,24.6,756.8,93,3 m/s,State of sky on the whole unchanged.,40%.,600-1000,15.0,23.4
2018-10-12,20,25.7,756.0,86,2 m/s,Clouds generally dissolving or becoming less developed.,50%.,600-1000,15.0,23.2
2018-10-12,17,28.7,754.1,79,4 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",60%.,300-600,15.0,24.7
2018-10-12,14,31.6,755.2,63,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",70,300-600,15.0,23.6
2018-10-12,11,28.6,757.4,76,,Clouds generally dissolving or becoming less developed.,40%.,300-600,18.0,23.9
2018-10-12,8,24.2,756.8,96,1 m/s,Clouds generally forming or developing.,40%.,Less,15.0,23.5
2018-10-12,5,23.5,755.6,97,2 m/s,State of sky on the whole unchanged.,40%.,600-1000,15.0,23.0
2018-10-12,2,23.5,756.3,98,,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.2
2018-10-11,23,24.0,757.5,96,1 m/s,State of sky on the whole unchanged.,40%.,600-1000,15.0,23.3
2018-10-11,20,24.5,755.8,95,1 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.7
2018-10-11,17,24.9,754.6,96,2 m/s,"Rain, not freezing, continuous, slight at time of observation.",50%.,50-100,6.0,24.2
2018-10-11,14,23.7,755.2,99,6 m/s,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation.",60%.,300-600,0.5,23.6
2018-10-11,11,30.3,756.6,66,2 m/s,Clouds generally forming or developing.,40%.,300-600,20.0,23.3
2018-10-11,8,25.0,755.8,90,1 m/s,Clouds generally forming or developing.,20–30%.,300-600,20.0,23.3
2018-10-11,5,24.0,754.3,93,2 m/s,"Thunderstorm, but no precipitation at the time of observation.",20–30%.,300-600,15.0,22.8
2018-10-11,2,24.9,754.6,89,3 m/s,Clouds generally forming or developing.,40%.,600-1000,15.0,22.9
2018-10-10,23,25.5,756.3,90,2 m/s,"Lightning visible, no thunder heard.",40%.,300-600,15.0,23.7
2018-10-10,20,27.7,754.9,80,2 m/s,"Lightning visible, no thunder heard.",20–30%.,300-600,15.0,24.0
2018-10-10,17,30.5,753.0,67,4 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",50%.,300-600,15.0,23.7
2018-10-10,14,29.9,753.7,70,5 m/s,Clouds generally forming or developing.,50%.,300-600,18.0,23.9
2018-10-10,11,30.7,755.9,67,2 m/s,Clouds generally forming or developing.,50%.,300-600,20.0,24.0
2018-10-10,8,25.3,756.1,90,2 m/s,Clouds generally forming or developing.,20–30%.,100-200,20.0,23.6
2018-10-10,5,22.9,754.2,98,1 m/s,Fog or ice fog.,40%.,Less,4.0,22.5
2018-10-10,2,23.8,754.8,95,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,600-1000,15.0,23.0
2018-10-9,23,24.5,756.1,93,2 m/s,State of sky on the whole unchanged.,20–30%.,600-1000,15.0,23.3
2018-10-9,20,25.0,755.1,91,3 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.4
2018-10-9,17,26.5,753.8,90,2 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",50%.,300-600,15.0,24.7
2018-10-9,14,26.2,754.2,92,4 m/s,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation.",50%.,300-600,8.0,24.8
2018-10-9,11,29.9,756.4,72,2 m/s,Clouds generally forming or developing.,20–30%.,300-600,20.0,24.3
2018-10-9,8,24.9,755.7,91,1 m/s,Clouds generally forming or developing.,40%.,600-1000,20.0,23.3
2018-10-9,5,24.1,754.2,92,2 m/s,"Lightning visible, no thunder heard.",50%.,300-600,15.0,22.8
2018-10-9,2,24.3,754.8,92,2 m/s,"Lightning visible, no thunder heard.",50%.,300-600,15.0,23.0
2018-10-8,23,25.1,756.3,90,3 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.4
2018-10-8,20,26.1,754.7,91,2 m/s,Clouds generally dissolving or becoming less developed.,50%.,600-1000,15.0,24.5
2018-10-8,17,29.3,752.9,76,2 m/s,State of sky on the whole unchanged.,60%.,300-600,18.0,24.6
2018-10-8,14,31.4,753.6,63,2 m/s,Clouds generally dissolving or becoming less developed.,60%.,600-1000,20.0,23.6
2018-10-8,11,29.7,756.1,72,3 m/s,Clouds generally forming or developing.,50%.,300-600,20.0,24.1
2018-10-8,8,25.1,756.4,93,2 m/s,Clouds generally forming or developing.,50%.,300-600,18.0,23.8
2018-10-8,5,24.6,754.8,93,2 m/s,"Lightning visible, no thunder heard.",40%.,300-600,15.0,23.4
2018-10-8,2,25.0,755.1,90,3 m/s,Clouds generally forming or developing.,40%.,600-1000,15.0,23.3
2018-10-7,23,25.9,756.4,91,2 m/s,State of sky on the whole unchanged.,20–30%.,600-1000,15.0,24.3
2018-10-7,20,27.2,755.4,83,2 m/s,State of sky on the whole unchanged.,20–30%.,600-1000,15.0,24.1
2018-10-7,17,29.7,753.8,64,2 m/s,Clouds generally dissolving or becoming less developed.,40%.,300-600,20.0,22.1
2018-10-7,14,29.8,755.0,69,1 m/s,Clouds generally forming or developing.,40%.,600-1000,20.0,23.5
2018-10-7,11,26.3,757.4,77,3 m/s,Clouds generally forming or developing.,20–30%.,300-600,20.0,21.9
2018-10-7,8,25.5,757.1,93,1 m/s,Clouds generally dissolving or becoming less developed.,40%.,300-600,20.0,24.3
2018-10-7,5,24.7,755.2,94,1 m/s,Thunderstorm (with or without precipitation).,40%.,300-600,15.0,23.6
2018-10-7,2,25.2,755.5,90,1 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.5
2018-10-6,23,26.5,756.5,89,2 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,24.6
2018-10-6,20,28.3,755.7,79,2 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,24.4
2018-10-6,17,31.0,754.2,62,4 m/s,Clouds generally forming or developing.,40%.,600-1000,20.0,22.9
2018-10-6,14,32.3,754.6,55,3 m/s,Clouds generally forming or developing.,50%.,600-1000,20.0,22.2
2018-10-6,11,31.3,756.9,68,3 m/s,Clouds generally forming or developing.,40%.,300-600,20.0,24.7
2018-10-6,8,26.1,756.7,85,1 m/s,Clouds generally dissolving or becoming less developed.,20–30%.,300-600,20.0,23.4
2018-10-6,5,24.9,755.6,95,,State of sky on the whole unchanged.,20–30%.,600-1000,15.0,24.0
2018-10-6,2,25.5,755.8,95,1 m/s,Clouds generally forming or developing.,40%.,600-1000,15.0,24.6
2018-10-5,23,26.2,757.2,93,2 m/s,State of sky on the whole unchanged.,40%.,600-1000,15.0,25.0
2018-10-5,20,27.3,756.2,87,2 m/s,Clouds generally forming or developing.,,600-1000,15.0,25.0
2018-10-5,17,28.8,754.6,80,2 m/s,Clouds generally dissolving or becoming less developed.,50%.,300-600,20.0,25.1
2018-10-5,14,30.7,755.0,71,3 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",50%.,300-600,15.0,24.8
2018-10-5,11,28.5,757.0,81,1 m/s,Clouds generally dissolving or becoming less developed.,50%.,300-600,20.0,25.0
2018-10-5,8,25.3,757.1,95,1 m/s,Rain (not freezing) not falling as shower(s).,40%.,50-100,10.0,24.4
2018-10-5,5,25.3,755.1,95,2 m/s,Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation.,60%.,300-600,10.0,24.4
2018-10-5,2,25.6,755.0,92,2 m/s,"Thunderstorm, but no precipitation at the time of observation.",60%.,300-600,8.0,24.2
2018-10-4,23,26.2,756.1,89,1 m/s,Haze.,20–30%.,600-1000,8.0,24.2
2018-10-4,20,28.0,754.7,85,2 m/s,"Lightning visible, no thunder heard.",40%.,300-600,8.0,25.3
2018-10-4,17,32.3,753.0,70,3 m/s,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",60%.,300-600,8.0,26.1
2018-10-4,14,33.0,753.7,61,3 m/s,Haze.,50%.,600-1000,8.0,24.5
2018-10-4,11,31.0,756.4,73,2 m/s,Haze.,60%.,300-600,8.0,25.7
2018-10-4,8,25.3,757.0,93,1 m/s,Haze.,50%.,Less,7.0,24.1
2018-10-4,5,24.2,755.7,96,,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.5
2018-10-4,2,24.7,755.5,95,1 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.9
2018-10-3,23,25.4,756.6,93,1 m/s,Clouds generally dissolving or becoming less developed.,50%.,100-200,15.0,24.2
2018-10-3,20,25.3,756.1,93,1 m/s,"Lightning visible, no thunder heard.",60%.,300-600,15.0,24.1
2018-10-3,17,25.2,754.6,91,3 m/s,Thunderstorm (with or without precipitation).,50%.,50-100,15.0,23.6
2018-10-3,14,32.9,754.6,62,3 m/s,Clouds generally forming or developing.,50%.,300-600,20.0,24.6
2018-10-3,11,30.1,757.0,73,2 m/s,Clouds generally forming or developing.,20–30%.,300-600,20.0,24.7
2018-10-3,8,24.8,756.9,94,,Clouds generally forming or developing.,50%.,600-1000,18.0,23.7
2018-10-3,5,24.1,755.8,95,1 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.3
2018-10-3,2,24.3,755.1,95,1 m/s,Clouds generally dissolving or becoming less developed.,40%.,600-1000,15.0,23.4
2018-10-2,23,24.6,756.9,93,2 m/s,State of sky on the whole unchanged.,50%.,600-1000,15.0,23.4
2018-10-2,20,24.1,755.8,94,4 m/s,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation.",60%.,300-600,1.5,23.0
2018-10-2,17,30.2,753.1,76,4 m/s,"Rain shower(s), slight.",60%.,300-600,12.0,25.4
2018-10-2,14,31.9,754.3,66,2 m/s,Clouds generally dissolving or becoming less developed.,50%.,300-600,20.0,24.7
2018-10-2,11,28.3,756.9,80,2 m/s,Clouds generally forming or developing.,50%.,300-600,20.0,24.5
