date,time,T,Po,U,DD,Ff,N,WW,Cl,Nh,H,VV,city
2018-12-30,14,33.0,756.4,61,Wind blowing from the west,3,"90  or more, but not 100%",Haze. ,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,10.0,Kuala Lumpur
2018-12-30,11,29.1,758.8,79,Wind blowing from the north,2,"90  or more, but not 100%",Haze. ,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,10.0,Kuala Lumpur
2018-12-30,08,25.9,758.0,90,Wind blowing from the north,1,"90  or more, but not 100%",Haze. ,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,10.0,Kuala Lumpur
2018-12-30,05,26.0,756.8,89,Wind blowing from the north-northwest,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,9.0,Kuala Lumpur
2018-12-30,02,26.2,757.3,93,Wind blowing from the north,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,8.0,Kuala Lumpur
2018-12-29,23,27.0,757.9,90,Wind blowing from the north-northwest,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,9.0,Kuala Lumpur
2018-12-29,20,28.5,756.8,81,Wind blowing from the north-west,2,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,10.0,Kuala Lumpur
2018-12-29,17,31.0,755.2,68,Wind blowing from the west,3,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-29,14,29.6,755.9,74,Wind blowing from the west-northwest,3,"90  or more, but not 100%",Haze. ,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,10.0,Kuala Lumpur
2018-12-29,11,27.2,758.2,86,Wind blowing from the west,1,"90  or more, but not 100%",Haze. ,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-29,08,24.5,757.5,93,Wind blowing from the south,1,"90  or more, but not 100%","Thunderstorm, but no precipitation at the time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,9.0,Kuala Lumpur
2018-12-29,05,25.6,756.1,90,Wind blowing from the south,1,"90  or more, but not 100%","Thunderstorm, but no precipitation at the time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,9.0,Kuala Lumpur
2018-12-29,02,26.0,756.5,90,Wind blowing from the west-northwest,1,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-28,23,27.1,756.7,80,Wind blowing from the north,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,10.0,Kuala Lumpur
2018-12-28,20,29.3,755.2,73,Wind blowing from the north-west,2,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,10.0,Kuala Lumpur
2018-12-28,17,32.5,753.8,56,Wind blowing from the west-northwest,4,70 – 80%.,Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-28,14,32.7,754.3,53,Wind blowing from the west-northwest,4,"90  or more, but not 100%",Haze. ,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,10.0,Kuala Lumpur
2018-12-28,11,29.9,756.4,71,Wind blowing from the north-west,4,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-28,08,25.5,756.4,90,Wind blowing from the north,1,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,7.0,Kuala Lumpur
2018-12-28,05,24.6,755.1,95,Wind blowing from the north,0,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,8.0,Kuala Lumpur
2018-12-28,02,25.5,755.6,93,Wind blowing from the north,2,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,7.0,Kuala Lumpur
2018-12-27,23,26.1,756.6,90,Wind blowing from the north-west,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,10.0,Kuala Lumpur
2018-12-27,20,27.5,755.4,81,Wind blowing from the west-northwest,2,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,10.0,Kuala Lumpur
2018-12-27,17,29.7,754.2,72,Wind blowing from the west-northwest,3,"90  or more, but not 100%",Haze. ,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-27,14,28.8,755.3,76,Wind blowing from the west-northwest,4,"90  or more, but not 100%",Haze. ,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,300-600,10.0,Kuala Lumpur
2018-12-27,11,26.9,756.8,84,Wind blowing from the north-northwest,3,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-27,08,23.4,756.6,97,Wind blowing from the north,3,"90  or more, but not 100%","Rain, not freezing, continuous, slight at time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,200-300,8.0,Kuala Lumpur
2018-12-27,05,23.7,755.8,97,Wind blowing from the west,1,"90  or more, but not 100%","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,200-300,5.0,Kuala Lumpur
2018-12-27,02,26.1,756.0,94,Wind blowing from the north,1,"90  or more, but not 100%",Rain (not freezing) not falling as shower(s). ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,8.0,Kuala Lumpur
2018-12-26,23,26.6,756.7,90,Wind blowing from the north,2,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,10.0,Kuala Lumpur
2018-12-26,20,27.2,755.6,89,Wind blowing from the north-northwest,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,10.0,Kuala Lumpur
2018-12-26,17,28.2,754.3,81,Wind blowing from the west,5,"90  or more, but not 100%","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,300-600,8.0,Kuala Lumpur
2018-12-26,14,31.6,755.3,66,Wind blowing from the west-northwest,4,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-26,11,26.6,757.1,92,Wind blowing from the north,2,"90  or more, but not 100%",Rain (not freezing) not falling as shower(s). ,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20–30%.,300-600,9.0,Kuala Lumpur
2018-12-26,08,23.9,756.7,97,Wind blowing from the north,1,"90  or more, but not 100%","Rain, not freezing, continuous, slight at time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,100-200,8.0,Kuala Lumpur
2018-12-26,05,23.9,756.1,95,Wind blowing from the north-west,3,"90  or more, but not 100%","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,100-200,5.0,Kuala Lumpur
2018-12-26,02,24.6,756.7,94,Wind blowing from the north-northwest,2,"90  or more, but not 100%","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,8.0,Kuala Lumpur
2018-12-25,23,27.5,756.6,85,Wind blowing from the north-northwest,2,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,10.0,Kuala Lumpur
2018-12-25,20,28.1,755.5,83,Wind blowing from the west,2,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,10.0,Kuala Lumpur
2018-12-25,17,29.4,754.0,79,Wind blowing from the west,3,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-25,14,32.5,755.6,65,Wind blowing from the west,5,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-25,11,30.3,757.2,72,Wind blowing from the north-west,3,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-25,08,25.7,756.3,93,Wind blowing from the north,0,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","10%  or less, but not 0",300-600,9.0,Kuala Lumpur
2018-12-25,05,25.4,755.2,94,Wind blowing from the west-southwest,2,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,8.0,Kuala Lumpur
2018-12-25,02,26.4,756.1,90,Wind blowing from the west,1,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,9.0,Kuala Lumpur
2018-12-24,23,27.3,756.5,89,Wind blowing from the west,1,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-24,20,28.4,754.9,81,Wind blowing from the west,2,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","10%  or less, but not 0",300-600,10.0,Kuala Lumpur
2018-12-24,17,31.7,753.8,63,Wind blowing from the west,6,"90  or more, but not 100%","Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-24,14,29.5,755.0,81,Wind blowing from the south,3,"90  or more, but not 100%","Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,9.0,Kuala Lumpur
2018-12-24,11,30.5,756.7,69,Wind blowing from the north,2,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-24,08,24.6,756.4,93,Wind blowing from the north-east,2,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","10%  or less, but not 0",300-600,7.0,Kuala Lumpur
2018-12-24,05,24.2,755.3,95,Wind blowing from the north,0,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","10%  or less, but not 0",300-600,9.0,Kuala Lumpur
2018-12-24,02,24.8,756.4,90,Wind blowing from the north,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,10.0,Kuala Lumpur
2018-12-23,23,24.9,757.0,91,Wind blowing from the north,2,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,10.0,Kuala Lumpur
2018-12-23,20,25.7,756.1,87,Wind blowing from the north-northeast,2,"90  or more, but not 100%",Thunderstorm (with or without precipitation). ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-23,17,29.9,754.6,77,Wind blowing from the south-southwest,3,"90  or more, but not 100%","Thunderstorm, but no precipitation at the time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-23,14,31.6,756.0,71,Wind blowing from the south-southwest,3,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-23,11,29.2,757.8,77,Wind blowing from the north-west,2,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-23,08,25.2,756.9,91,Wind blowing from the north-east,2,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,100-200,6.0,Kuala Lumpur
2018-12-23,05,25.1,755.8,93,Wind blowing from the north-east,1,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,6.0,Kuala Lumpur
2018-12-23,02,25.5,756.3,93,Wind blowing from the east-northeast,0,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,7.0,Kuala Lumpur
2018-12-22,23,25.4,756.7,93,Wind blowing from the north-east,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,8.0,Kuala Lumpur
2018-12-22,20,25.6,756.1,93,Wind blowing from the north-west,0,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,300-600,10.0,Kuala Lumpur
2018-12-22,17,29.3,754.3,75,Wind blowing from the south-west,2,"90  or more, but not 100%","Thunderstorm, but no precipitation at the time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-22,14,32.5,755.6,63,Wind blowing from the north-northwest,1,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-22,11,29.8,757.6,77,Wind blowing from the north,2,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-22,08,24.8,757.0,91,Wind blowing from the north-east,2,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","10%  or less, but not 0",300-600,10.0,Kuala Lumpur
2018-12-22,05,24.7,756.5,90,Wind blowing from the north-east,2,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,9.0,Kuala Lumpur
2018-12-22,02,24.7,757.0,93,Wind blowing from the north,0,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,9.0,Kuala Lumpur
2018-12-21,23,24.6,757.5,91,Wind blowing from the north-northeast,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,8.0,Kuala Lumpur
2018-12-21,20,24.3,756.4,91,Wind blowing from the east-southeast,1,"90  or more, but not 100%",Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-21,17,30.3,754.4,80,Wind blowing from the west-southwest,2,"90  or more, but not 100%","Thunderstorm, but no precipitation at the time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-21,14,33.1,756.1,60,Wind blowing from the west,3,"90  or more, but not 100%","Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ","Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",50%.,300-600,10.0,Kuala Lumpur
2018-12-21,11,31.0,757.9,70,Wind blowing from the north-west,3,"90  or more, but not 100%",Haze. ,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-21,08,26.6,756.7,87,Wind blowing from the north,1,"90  or more, but not 100%",Haze. ,Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,9.0,Kuala Lumpur
2018-12-21,05,26.2,756.1,88,Wind blowing from the north-east,2,"90  or more, but not 100%",Haze. ,Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,9.0,Kuala Lumpur
2018-12-21,02,27.2,757.3,84,Wind blowing from the north,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,9.0,Kuala Lumpur
2018-12-20,23,28.0,757.6,83,Wind blowing from the north,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,10.0,Kuala Lumpur
2018-12-20,20,29.3,756.4,77,Wind blowing from the west,2,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,10.0,Kuala Lumpur
2018-12-20,17,32.9,755.1,59,Wind blowing from the west,4,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","10%  or less, but not 0",300-600,10.0,Kuala Lumpur
2018-12-20,14,33.0,756.7,65,Wind blowing from the west-southwest,2,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-20,11,31.0,758.5,71,Wind blowing from the north-northwest,0,"90  or more, but not 100%",Haze. ,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,10.0,Kuala Lumpur
2018-12-20,08,26.0,757.7,88,Wind blowing from the east-northeast,2,"90  or more, but not 100%",Haze. ,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","10%  or less, but not 0",300-600,10.0,Kuala Lumpur
2018-12-20,05,26.3,757.0,86,Wind blowing from the north-northeast,3,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,9.0,Kuala Lumpur
2018-12-20,02,26.6,758.3,92,Wind blowing from the north,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,"10%  or less, but not 0",600-1000,8.0,Kuala Lumpur
2018-12-19,23,28.0,758.6,83,Wind blowing from the north-east,2,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,9.0,Kuala Lumpur
2018-12-19,20,28.9,757.0,76,Wind blowing from the south-southwest,1,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","10%  or less, but not 0",300-600,10.0,Kuala Lumpur
2018-12-19,17,31.4,755.6,70,Wind blowing from the south-southwest,2,"90  or more, but not 100%","Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",40%.,300-600,10.0,Kuala Lumpur
2018-12-19,14,31.4,757.3,72,Wind blowing from the west-southwest,2,"90  or more, but not 100%",Haze. ,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,10.0,Kuala Lumpur
2018-12-19,11,28.5,759.6,81,Wind blowing from the west-southwest,2,"90  or more, but not 100%","Thunderstorm, but no precipitation at the time of observation. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-19,08,24.9,758.2,95,Wind blowing from the north,0,"90  or more, but not 100%",Haze. ,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-19,05,25.0,756.4,95,Wind blowing from the north-east,2,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","10%  or less, but not 0",300-600,8.0,Kuala Lumpur
2018-12-19,02,25.6,757.3,95,Wind blowing from the west,1,"90  or more, but not 100%",Haze. ,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,100-200,7.0,Kuala Lumpur
2018-12-18,23,27.0,757.8,86,Wind blowing from the north-east,3,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,10.0,Kuala Lumpur
2018-12-18,20,27.2,756.5,88,Wind blowing from the south-southeast,1,"90  or more, but not 100%","Lightning visible, no thunder heard. ","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",20–30%.,300-600,10.0,Kuala Lumpur
